skills,Analyst (Global Data and Analytics),Analyst - Data Visualization,"Analyst, Data and Analytics",Associate Data Analyst,Business Data Analyst,Consultant/Data Analyst,Data Analyst,Data Analyst (Global Remote),Data Analyst (Hybrid),Data Analyst (Remote),Data Analyst (SQL),"Data Analyst (SQL, Teraform, Tableau) III - Remote",Data Analyst - (Remote - US),Data Analyst - Energy,Data Analyst - Recent Graduate,Data Analyst - Remote,Data Analyst - Weekly Hybrid Remote/Onsite Schedule,Data Analyst - remote!,Data Analyst I,Data Analyst I (entry level),Data Analyst III - Remote,"Data Analyst, Money",Data Analyst/Collector,Data Analytics Analyst,Data Visualization Analyst,Data analyst,Entry Level Data Analyst,Entry-Level Data Analyst,Group Data Analyst,Junior Data Analyst,Junior Data Analyst-Entry Level,Marketing Data Analyst,"REMOTE Data Analyst (SQL, Operations)",SQL Data Analyst,Senior Data Analyst,WFH//Data Analyst
AWS,36.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,1.0,0.0,1.0
Communication,0.0,34.0,0.0,0.0,0.0,1.0,702.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,180.0,0.0,0.0,10.0,3.0,33.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,36.0,0.0,70.0,1.0,0.0,2.0,37.0,0.0,1.0
Data Analysis,0.0,34.0,0.0,37.0,1.0,1.0,742.0,0.0,0.0,1.0,24.0,0.0,59.0,1.0,180.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,36.0,0.0,36.0,0.0,1.0,2.0,1.0,0.0,1.0
ETL,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
Excel,0.0,34.0,0.0,0.0,0.0,1.0,1055.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,180.0,0.0,0.0,10.0,1.0,33.0,0.0,0.0,1.0,21.0,1.0,1.0,0.0,36.0,0.0,107.0,1.0,1.0,2.0,36.0,1.0,1.0
Machine Learning,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,1.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power BI,36.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2.0,37.0,1.0,0.0
Python,36.0,0.0,0.0,0.0,0.0,0.0,853.0,0.0,0.0,1.0,24.0,0.0,59.0,0.0,180.0,2.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,21.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
R,36.0,34.0,35.0,37.0,1.0,1.0,2077.0,2.0,1.0,3.0,24.0,1.0,59.0,1.0,180.0,6.0,1.0,10.0,4.0,33.0,1.0,7.0,1.0,21.0,2.0,2.0,1.0,36.0,1.0,138.0,1.0,1.0,2.0,37.0,1.0,1.0
SQL,36.0,0.0,0.0,37.0,1.0,1.0,1656.0,2.0,0.0,2.0,24.0,1.0,59.0,1.0,180.0,6.0,1.0,10.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,1.0,0.0,36.0,1.0,107.0,1.0,1.0,2.0,37.0,1.0,0.0
Spark,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statistics,0.0,0.0,0.0,37.0,0.0,0.0,632.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,10.0,3.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,37.0,1.0,1.0
Tableau,0.0,0.0,35.0,0.0,0.0,1.0,663.0,0.0,0.0,3.0,2.0,1.0,59.0,1.0,180.0,4.0,0.0,0.0,2.0,33.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,1.0,1.0,1.0,2.0,36.0,1.0,0.0
